Symbol	Diffrna-MFS_perichondrium_starMin33_PC-mut_vs_PC-WT	RowSum	RowMean	RowSampleSD	RowSampleCV	Description	ReadWrite_SCPs	ReadWrite_human_symbols
CSNK1G2	-0.684026837348938	0	0	0	0	casein kinase 1, gamma 2		CSNK1G2
CSNK2B	-1.03521323204041	0	0	0	0	casein kinase 2, beta polypeptide		CSNK2B
CSPP1	0.834035098552704	0	0	0	0	centrosome and spindle pole associated protein 1		CSPP1
CSRP3	-1.29563784599304	0	0	0	0	cysteine and glycine-rich protein 3		CSRP3
CTNNBL1	-0.826124489307404	0	0	0	0	catenin, beta like 1		CTNNBL1
CTSA	-0.67648458480835	0	0	0	0	cathepsin A		CTSA
CTSZ	-1.24286198616028	0	0	0	0	cathepsin Z		CTSZ
CUTA	-0.975937128067017	0	0	0	0	cutA divalent cation tolerance homolog		CUTA
CWF19L2	0.624558448791504	0	0	0	0	CWF19-like 2, cell cycle control (S. pombe)		CWF19L2
CXADR	1.07027637958527	0	0	0	0	coxsackie virus and adenovirus receptor		CXADR
CXCL14	-0.816324472427368	0	0	0	0	chemokine (C-X-C motif) ligand 14		CXCL14
CXXC1	-1.21684217453003	0	0	0	0	CXXC finger 1 (PHD domain)		CXXC1
CYB561D1	-1.58946514129639	0	0	0	0	cytochrome b-561 domain containing 1		CYB561D1
CYB5R3	-0.863933384418488	0	0	0	0	cytochrome b5 reductase 3		CYB5R3
CYBA	-0.474002152681351	0	0	0	0	cytochrome b-245, alpha polypeptide		CYBA
CYTH2	-1.03427672386169	0	0	0	0	cytohesin 2		CYTH2
D630003M21RIK	-1.38581550121307	0	0	0	0	RIKEN cDNA D630003M21 gene		KIAA1755
DAD1	-0.625736832618713	0	0	0	0	defender against cell death 1		DAD1
DAP	-0.424319565296173	0	0	0	0	death-associated protein		DAP
DAPK3	-1.33029818534851	0	0	0	0	death-associated protein kinase 3		DAPK3
DBN1	-0.825205624103546	0	0	0	0	drebrin 1		DBN1
DCAKD	-0.807788372039795	0	0	0	0	dephospho-CoA kinase domain containing		DCAKD
DCHS1	-0.618337512016296	0	0	0	0	dachsous cadherin related 1		DCHS1
DCTN1	-1.15228319168091	0	0	0	0	dynactin 1		DCTN1
DCTN3	-0.755334854125977	0	0	0	0	dynactin 3		DCTN3
DCUN1D4	0.952582895755768	0	0	0	0	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)		DCUN1D4
DDA1	-0.705579340457916	0	0	0	0	DET1 and DDB1 associated 1		DDA1
DDOST	-0.600847899913788	0	0	0	0	dolichyl-di-phosphooligosaccharide-protein glycotransferase		DDOST
DDRGK1	-0.713180005550385	0	0	0	0	DDRGK domain containing 1		DDRGK1
DDX39B	-0.709326982498169	0	0	0	0	DEAD box helicase 39b		DDX39B
DDX3X	0.750247597694397	0	0	0	0	DEAD box helicase 3, X-linked		DDX3X
DDX49	-0.701109528541565	0	0	0	0	DEAD box helicase 49		DDX49
DDX56	-0.814836084842682	0	0	0	0	DEAD box helicase 56		DDX56
DDX60	1.49576663970947	0	0	0	0	DExD/H box helicase 60		DDX60
DEF6	-1.11553919315338	0	0	0	0	differentially expressed in FDCP 6		DEF6
DENND4A	0.598478674888611	0	0	0	0	DENN/MADD domain containing 4A		DENND4A
DEPP1	-0.990256011486053	0	0	0	0	DEPP1 autophagy regulator		DEPP1
DES	-1.42281019687653	0	0	0	0	desmin		DES
DGKZ	-0.867351353168488	0	0	0	0	diacylglycerol kinase zeta		DGKZ
