gene	youth_z
PHF20	0.3045
ZFP516	0.3044
NACC1	0.3041
ANXA7	0.3037
ZBTB7C	0.3035
ZFP330	0.3034
IQGAP1	0.3027
FUCA2	0.3027
DDB1	0.3026
RNF20	0.3025
DGKZ	0.3018
SH3BP4	0.3017
NAA35	0.3012
SLC6A8	0.3010
VAMP4	0.3006
XAB2	0.3004
RAB23	0.3004
ANAPC4	0.3003
BTBD3	0.3001
GBF1	0.3001
RBBP7	0.2999
YWHAQ	0.2996
HAPLN1	0.2990
TOP1	0.2989
RGS3	0.2988
ARIH2	0.2988
USP22	0.2987
MTMR10	0.2986
NUP205	0.2985
FAM3A	0.2983
POM121	0.2980
SNRPA	0.2972
RERE	0.2970
MFN1	0.2969
SON	0.2968
ZFP598	0.2968
CFAP36	0.2967
RAPGEF6	0.2961
EPHA2	0.2961
RNF31	0.2959
OLFM1	0.2956
WDR48	0.2954
SNF8	0.2954
TWF1	0.2953
ETFA	0.2950
GSK3B	0.2949
POR	0.2949
CDKN1A	0.2942
SEC16A	0.2942
BLZF1	0.2939
APP	0.2936
B4GALT3	0.2934
TAF3	0.2932
SETD5	0.2932
SURF4	0.2930
MAML3	0.2929
GPD2	0.2926
HOMER1	0.2920
GNG12	0.2920
ZPR1	0.2915
VIM	0.2913
NIN	0.2896
DNAJC5	0.2895
SLC23A2	0.2894
GLO1	0.2892
PRKCSH	0.2891
KDM6B	0.2891
SLC7A6OS	0.2888
PLRG1	0.2885
BCL2	0.2883
CDK8	0.2882
DYNC1H1	0.2881
STON2	0.2881
MAFG	0.2880
DYRK2	0.2875
TUBB4B	0.2874
LSM12	0.2873
ARL14EP	0.2872
ATG7	0.2871
METTL3	0.2868
ANP32B	0.2861
VPS13D	0.2861
CTSD	0.2859
RABL6	0.2858
CSTF3	0.2855
RNF167	0.2850
BDP1	0.2845
ACKR3	0.2845
AKT1	0.2843
SSX2IP	0.2843
AMMECR1L	0.2841
STXBP6	0.2838
SLC7A1	0.2833
MYO18A	0.2831
MYO5A	0.2831
DMTF1	0.2831
SF3A1	0.2830
CHMP2A	0.2830
NMT1	0.2830
KLHL29	0.2829
SMARCA4	0.2829
CLIP1	0.2827
DOCK1	0.2823
ISG20L2	0.2822
BMS1	0.2821
TGDS	0.2820
EVL	0.2817
TCF7L2	0.2816
PRNP	0.2815
PRRC2A	0.2815
SEC24C	0.2815
PANK1	0.2813
TRIP4	0.2805
NUP214	0.2804
USP3	0.2802
WSB2	0.2801
NUB1	0.2800
BCL2L2	0.2797
NEK2	0.2793
ELK1	0.2793
TRMT1	0.2785
NT5DC1	0.2781
