gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
SLF2,31.23,27.62,27.59,13.64,46.42,31.65,39.32,35.52,26.39,42.05,51.61,27.23,22.36,31.96,41.18
MRPL43,4.83,13.32,14.02,6.82,6.16,17.58,29.94,3.65,13.70,40.14,38.71,2.90,10.64,24.20,31.37
SEMA4G,0.37,2.53,1.15,0.00,2.16,1.76,2.27,1.38,1.84,5.08,1.61,0.67,1.63,4.25,1.96
TWNK,1.49,0.98,1.84,2.27,3.49,1.99,3.66,1.91,1.60,4.96,8.06,2.01,1.55,3.28,7.84
LZTS2,5.20,7.09,11.38,11.36,9.15,8.44,18.81,6.99,6.13,21.51,35.48,6.03,5.90,16.71,33.33
PDZD7,0.37,0.69,0.11,0.00,1.00,0.47,0.48,1.32,0.73,0.60,3.23,1.12,0.67,0.35,0.00
SFXN3,5.58,5.17,7.70,11.36,5.16,3.75,8.23,6.62,4.96,11.41,22.58,7.14,5.07,7.91,27.45
AL133215.2,0.00,0.04,0.57,0.00,0.83,0.59,0.64,0.16,0.12,0.36,0.00,0.00,0.00,0.47,3.92
KAZALD1,0.74,4.11,4.37,4.55,2.33,1.06,2.86,1.69,0.73,3.82,8.06,5.58,2.30,3.01,43.14
LBX1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,1.61,0.00,0.00,0.02,1.96
BTRC,44.61,35.52,9.43,6.82,57.57,40.80,15.35,44.63,35.25,18.58,25.81,35.94,31.03,13.63,17.65
DPCD,3.72,4.77,9.77,6.82,5.49,7.15,28.47,4.34,4.09,31.18,25.81,2.46,3.60,19.15,15.69
POLL,8.55,6.31,7.93,9.09,8.82,5.63,11.73,6.78,7.72,14.58,27.42,6.92,5.15,11.59,11.76
FBXW4,39.03,37.27,13.56,6.82,39.60,39.04,14.87,36.00,38.06,17.74,30.65,32.59,37.19,13.55,21.57
AC010789.2,1.49,0.65,0.00,0.00,1.50,0.59,0.04,1.38,0.85,0.00,1.61,0.89,0.75,0.00,0.00
NPM3,1.86,1.91,9.54,2.27,4.16,4.69,22.47,2.49,2.45,29.57,19.35,1.34,2.14,16.79,13.73
OGA,53.90,57.47,35.98,40.91,59.57,62.02,46.12,55.37,59.32,53.41,62.90,51.79,58.21,41.61,72.55
KCNIP2-AS1,0.00,1.26,0.34,0.00,0.83,1.29,0.12,1.01,1.89,0.18,0.00,0.89,1.05,0.17,0.00
KCNIP2,8.18,2.04,0.34,0.00,4.16,1.29,0.80,3.71,2.03,0.60,0.00,2.68,1.09,0.42,1.96
ARMH3,42.75,37.43,5.86,2.27,49.25,39.04,9.34,45.31,43.58,12.49,16.13,37.95,30.61,7.73,9.80
HPS6,0.00,1.34,1.84,0.00,0.00,2.23,2.90,0.37,1.62,4.12,4.84,0.67,1.13,2.84,7.84
LDB1,17.84,9.90,9.43,15.91,16.97,12.31,8.31,11.01,6.97,7.17,8.06,7.14,8.33,6.71,13.73
PPRC1,19.70,5.50,10.11,0.00,34.11,8.79,27.44,19.48,6.20,29.69,20.97,15.62,4.44,19.95,15.69
NOLC1,20.82,12.18,22.18,15.91,29.45,23.09,42.27,21.33,15.64,48.86,32.26,20.31,12.73,32.08,23.53
ELOVL3,0.74,0.24,1.15,2.27,1.16,0.23,9.90,0.79,0.27,20.43,8.06,0.22,0.38,9.65,7.84
PITX3,0.74,0.16,0.11,0.00,1.00,0.00,0.95,0.58,0.07,2.15,0.00,0.45,0.04,1.14,0.00
GBF1,65.80,43.42,15.98,13.64,80.37,54.40,47.99,67.50,51.65,63.98,40.32,62.50,38.99,38.97,37.25
NFKB2,10.04,9.57,9.31,13.64,13.48,14.65,12.29,16.41,21.86,14.64,19.35,12.50,9.67,10.59,13.73
PSD,2.23,4.73,1.26,0.00,2.00,5.16,2.47,1.64,8.60,1.73,0.00,2.46,3.31,2.31,1.96
FBXL15,3.35,6.40,15.52,6.82,3.33,10.79,26.80,2.17,10.15,35.36,27.42,1.56,6.74,21.81,9.80
CUEDC2,4.83,11.57,19.08,4.55,9.82,14.30,33.16,6.93,10.77,38.35,33.87,4.46,7.79,25.22,27.45
RPARP-AS1,3.35,3.05,3.22,4.55,4.49,2.58,2.31,2.49,3.32,2.27,3.23,2.01,3.39,2.04,11.76
MFSD13A,0.00,1.67,0.46,0.00,0.33,3.28,0.87,1.43,3.27,0.84,3.23,0.67,1.42,0.72,1.96
ACTR1A,9.67,10.35,9.20,9.09,11.98,12.54,21.35,9.26,12.91,33.93,33.87,9.60,9.38,21.74,37.25
SUFU,27.51,21.87,8.62,13.64,27.95,26.03,8.91,24.51,24.19,10.69,19.35,21.43,16.58,7.88,17.65
TRIM8,28.62,20.00,33.33,38.64,25.96,25.32,33.92,20.96,16.13,40.92,48.39,16.74,15.91,32.60,60.78
AL391121.1,2.97,1.91,2.07,2.27,1.33,1.52,1.55,2.33,1.26,3.05,11.29,3.12,1.30,2.51,1.96
ARL3,19.70,13.89,28.05,2.27,26.12,18.64,52.09,16.04,9.66,59.44,46.77,9.38,10.85,39.14,39.22
SFXN2,11.15,6.11,12.76,4.55,22.80,10.67,22.54,13.18,5.84,26.05,12.90,8.93,4.61,17.41,15.69
WBP1L,34.94,27.86,11.03,9.09,33.11,22.16,16.54,30.55,26.68,25.69,38.71,25.89,21.73,16.24,33.33
CYP17A1,0.00,0.12,0.11,0.00,0.17,0.00,0.16,0.16,0.05,0.00,0.00,0.00,0.13,0.12,1.96
AL358790.1,0.37,0.33,0.11,0.00,1.50,0.35,0.00,0.64,0.27,0.00,0.00,0.67,0.17,0.00,0.00
BORCS7,18.59,14.66,29.08,31.82,17.30,14.42,34.08,13.61,12.23,35.60,43.55,11.61,12.77,26.91,35.29
AS3MT,9.67,4.73,4.25,0.00,9.32,5.63,6.20,8.42,3.85,5.56,9.68,7.81,2.64,5.67,11.76
AL356608.3,0.37,0.77,0.23,0.00,0.33,0.70,0.00,0.58,0.51,0.00,0.00,1.12,0.38,0.02,0.00
AL356608.1,1.12,0.00,0.46,2.27,0.33,0.12,0.52,0.05,0.15,0.54,0.00,0.45,0.04,0.17,0.00
CNNM2,29.00,20.29,5.17,4.55,31.45,27.43,4.93,28.96,23.73,6.03,14.52,21.21,16.83,5.99,13.73
NT5C2,58.36,44.07,16.09,15.91,67.05,44.78,29.03,58.81,51.04,33.03,45.16,48.44,34.51,24.25,39.22
INA,0.37,0.08,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.00,0.00,0.45,0.13,0.05,1.96
PCGF6,10.04,6.23,3.22,0.00,16.47,7.03,7.24,9.53,5.01,7.23,14.52,6.70,3.98,4.97,15.69
TAF5,2.23,2.81,1.38,2.27,4.49,5.04,4.57,3.34,2.54,4.24,1.61,1.79,2.72,2.84,5.88
ATP5MD,9.67,28.96,47.01,43.18,16.97,41.38,81.83,11.22,32.40,91.22,80.65,8.93,32.16,67.02,72.55
PDCD11,17.84,10.63,9.31,2.27,23.96,15.71,21.47,17.47,11.09,29.45,33.87,12.28,9.51,16.44,35.29
CALHM2,2.60,4.03,1.26,2.27,1.66,4.92,0.48,1.75,3.37,0.78,12.90,1.34,5.19,0.87,15.69
AL139339.1,1.86,0.53,0.11,0.00,0.33,0.47,0.04,0.26,0.36,0.18,1.61,0.22,0.08,0.05,0.00
NEURL1,5.58,4.85,1.49,0.00,7.15,7.62,5.21,4.45,5.57,9.86,8.06,3.12,2.89,4.00,0.00
AL121929.3,1.49,1.10,1.95,2.27,3.49,1.41,3.42,2.01,1.16,2.33,1.61,1.79,0.54,2.44,1.96
