gene,GP1_2_stem__donor1,GP1_2_stem__donor2,GP1_2_stem__donor3,GP1_2_stem__donor4,GP3_proliferative__donor1,GP3_proliferative__donor2,GP3_proliferative__donor3,GP4_prehypertrophic__donor1,GP4_prehypertrophic__donor2,GP4_prehypertrophic__donor3,GP4_prehypertrophic__donor4,GP5_hypertrophic__donor1,GP5_hypertrophic__donor2,GP5_hypertrophic__donor3,GP5_hypertrophic__donor4
AL136119.1,1.49,1.10,0.00,0.00,0.83,0.35,0.00,0.64,0.87,0.00,0.00,0.45,0.29,0.02,0.00
GPAM,4.83,5.13,6.09,4.55,7.65,6.57,10.30,5.45,4.72,13.32,19.35,3.79,4.06,8.85,21.57
ACSL5,2.97,9.65,0.34,0.00,3.16,16.76,0.44,9.69,16.78,0.72,17.74,5.36,12.73,0.52,1.96
AL157786.1,2.60,5.91,0.23,0.00,2.33,4.69,0.56,2.81,6.78,0.36,1.61,2.90,5.70,0.35,1.96
ZDHHC6,9.67,10.59,6.67,18.18,17.47,14.77,14.23,10.64,11.65,15.41,27.42,8.93,11.56,10.62,17.65
VTI1A,59.11,59.14,7.01,15.91,64.73,68.11,10.74,66.60,70.97,13.50,24.19,56.25,60.93,9.50,35.29
AL139120.1,0.00,1.02,0.00,0.00,0.33,1.52,0.00,0.16,1.45,0.00,0.00,0.22,1.09,0.00,1.96
AL158212.3,0.37,1.79,1.72,6.82,1.83,2.34,3.02,1.59,1.69,3.17,3.23,1.12,1.80,1.69,3.92
AL158212.1,0.00,0.45,0.00,0.00,1.16,0.70,0.00,1.11,1.04,0.00,0.00,0.67,0.38,0.00,0.00
TCF7L2,72.12,47.33,33.33,36.36,69.05,37.98,34.08,61.46,38.21,39.31,50.00,51.79,27.01,33.82,66.67
AL158212.2,1.49,1.38,1.03,4.55,1.83,1.06,0.68,1.01,0.63,1.14,6.45,0.67,0.80,1.12,5.88
AL133482.1,1.86,0.61,1.26,0.00,0.33,0.35,0.52,0.48,0.15,0.54,0.00,1.79,0.38,0.65,5.88
CASP7,9.67,8.84,4.37,4.55,9.82,9.73,9.03,7.99,11.50,9.98,29.03,4.46,8.84,6.37,13.73
PLEKHS1,1.86,1.02,0.80,2.27,3.99,0.59,0.52,1.38,0.53,0.36,6.45,0.45,0.08,0.50,0.00
DCLRE1A,0.74,1.38,2.07,0.00,2.33,3.05,4.33,1.54,1.82,5.50,11.29,1.12,1.80,2.96,7.84
NHLRC2,26.77,25.46,27.82,29.55,38.27,29.31,39.68,27.42,29.15,43.43,48.39,17.41,19.85,32.80,47.06
AL592546.3,0.00,0.45,0.23,0.00,0.17,0.47,0.12,0.05,0.53,0.18,0.00,0.00,0.42,0.17,1.96
ADRB1,0.00,0.73,0.00,0.00,0.33,1.06,0.00,0.58,0.36,0.06,0.00,0.22,0.42,0.02,0.00
AC022023.2,1.12,1.06,0.00,0.00,1.50,1.88,0.04,1.75,1.96,0.06,0.00,0.89,1.05,0.02,0.00
CCDC186,20.82,24.52,37.47,31.82,46.26,39.39,63.62,31.45,31.99,76.16,59.68,18.53,27.60,51.98,50.98
AC005383.1,0.00,0.04,0.11,0.00,0.17,0.00,0.00,0.21,0.05,0.06,1.61,0.00,0.00,0.00,0.00
AFAP1L2,4.09,4.20,1.03,2.27,3.99,1.76,0.32,5.51,3.66,0.66,17.74,2.46,0.96,0.80,0.00
ABLIM1,13.38,17.72,1.38,2.27,20.30,21.57,0.48,21.81,23.54,1.14,29.03,36.38,35.22,1.94,54.90
AL137025.1,0.37,0.90,0.00,0.00,0.33,1.52,0.04,0.26,0.34,0.00,0.00,1.34,1.47,0.05,1.96
FAM160B1,19.33,17.64,14.48,20.45,24.13,20.52,24.10,20.01,16.49,32.80,43.55,18.30,13.65,21.96,39.22
TRUB1,8.92,7.01,8.85,2.27,13.14,8.79,15.07,9.42,7.77,20.97,30.65,8.04,5.53,12.78,31.37
ATRNL1,10.78,1.83,2.30,2.27,15.47,1.64,1.47,7.57,1.36,1.79,0.00,6.47,1.17,0.70,0.00
AC016042.1,1.12,0.33,0.00,0.00,0.50,0.23,0.20,0.32,0.24,0.24,0.00,0.67,0.34,0.10,1.96
GFRA1,16.36,15.07,4.60,15.91,6.82,3.63,3.46,6.83,3.73,1.02,8.06,13.39,8.54,2.51,33.33
AC012470.1,0.37,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,7.84
C10orf82,0.74,0.00,0.46,0.00,1.00,0.23,1.59,0.26,0.10,0.90,0.00,0.45,0.00,0.77,0.00
AC016825.1,0.00,0.20,0.00,0.00,0.00,0.47,0.08,0.05,0.05,0.06,1.61,0.00,0.04,0.05,0.00
HSPA12A,27.14,7.94,12.41,4.55,39.27,13.13,26.16,20.43,4.16,27.84,9.68,10.94,3.69,20.14,15.69
ENO4,3.72,3.50,0.23,4.55,1.66,3.40,0.68,2.17,3.17,0.84,0.00,2.01,1.09,0.70,0.00
SHTN1,19.70,17.52,8.74,4.55,20.97,13.95,25.41,25.57,23.27,40.68,24.19,12.05,4.98,24.20,15.69
AC023283.1,0.00,0.16,0.11,0.00,0.50,0.23,0.20,0.26,0.53,0.54,1.61,0.00,0.04,0.42,1.96
AL731557.1,0.00,0.00,0.11,0.00,0.17,0.47,1.43,0.05,0.02,2.21,3.23,0.00,0.00,1.09,0.00
SLC18A2,2.60,6.03,18.05,0.00,22.80,17.47,79.60,11.91,5.62,88.83,32.26,3.35,5.23,62.89,11.76
AL391988.1,0.37,0.24,1.72,0.00,1.00,0.94,2.78,0.69,0.65,3.52,1.61,0.67,0.29,2.54,1.96
