gene,pct_donor1,pct_donor2,pct_donor3,pct_donor4,n_donors_detected
AL360014.1,0.00,0.02,0.00,0.00,0
AL353746.1,0.02,0.07,0.01,0.26,0
LINGO2,2.81,3.19,0.04,0.78,2
AL445526.1,0.23,0.28,0.00,0.00,0
AL162388.2,0.02,0.09,0.00,0.00,0
LINC01242,0.19,0.22,0.00,0.00,0
LINC01243,0.00,0.04,0.00,0.00,0
ACO1,16.51,14.85,25.95,16.45,4
DDX58,23.42,35.11,6.26,14.88,4
TOPORS,17.73,13.56,28.01,20.89,4
SMIM27,1.66,7.02,9.25,10.70,4
NDUFB6,9.03,14.64,38.11,27.15,4
TAF1L,0.04,0.02,0.02,0.00,0
AL589642.1,0.02,0.02,0.00,0.00,0
AL589642.2,0.00,0.02,0.00,0.00,0
TMEM215,0.08,0.29,0.99,0.26,0
AL157884.2,0.04,0.06,0.03,0.00,0
APTX,32.01,24.52,28.32,13.05,4
DNAJA1,63.25,74.31,81.81,53.52,4
SMU1,22.32,21.81,29.25,22.19,4
B4GALT1,37.15,40.44,9.87,24.80,4
B4GALT1-AS1,0.40,0.82,0.75,1.04,1
SPINK4,0.23,1.01,0.00,0.00,1
BAG1,9.82,17.81,47.86,27.94,4
CHMP5,7.10,18.95,38.98,28.46,4
NFX1,35.79,32.43,23.25,21.15,4
AQP7,1.23,1.29,2.87,3.39,4
AL356218.2,0.04,0.08,0.07,0.26,0
AQP3,2.70,8.04,2.82,5.22,4
NOL6,2.36,3.18,12.39,4.18,4
ANKRD18B,0.15,0.08,0.12,0.00,0
CYP4F26P,0.02,0.09,0.00,0.00,0
PTENP1-AS,0.38,0.48,0.75,0.78,0
TRBV26OR9-2,0.04,0.02,0.02,0.00,0
AL356489.2,0.23,0.15,0.46,0.26,0
AL356489.3,0.13,0.08,0.16,0.00,0
AL356489.4,0.00,0.02,0.00,0.00,0
LINC01251,0.00,0.03,0.00,0.00,0
PRSS3,0.23,0.32,0.05,0.26,0
UBE2R2-AS1,1.85,2.11,0.19,0.26,2
UBE2R2,40.96,35.82,42.67,35.25,4
UBAP2,48.18,28.02,47.33,21.67,4
AL354989.1,0.40,1.10,0.02,0.26,1
DCAF12,10.80,11.70,21.73,18.02,4
UBAP1,39.45,23.27,17.98,11.49,4
KIF24,3.49,1.42,1.73,0.00,3
NUDT2,6.57,8.61,16.52,12.01,4
MYORG,2.76,1.84,26.25,11.23,4
C9orf24,4.34,3.84,2.17,0.26,3
FAM219A,22.97,11.40,11.08,9.66,4
DNAI1,3.31,0.58,0.97,0.78,1
ENHO,2.08,4.50,45.16,14.62,4
AL160270.1,0.08,0.00,0.03,0.00,0
CNTFR,2.27,1.70,8.68,1.83,4
CNTFR-AS1,0.06,0.10,0.00,0.00,0
RPP25L,1.02,3.93,12.86,10.44,4
DCTN3,2.87,13.55,44.38,24.80,4
SIGMAR1,2.74,3.98,28.45,12.79,4
GALT,4.80,8.54,13.77,11.75,4
IL11RA,5.67,7.83,37.33,19.06,4
CCL27,0.13,0.11,0.48,0.52,0
AL162231.1,0.96,1.12,13.32,7.83,3
AL162231.2,7.86,3.50,4.03,3.13,4
CCL19,0.02,0.26,0.01,0.00,0
CCL21,0.00,0.09,0.03,0.26,0
FAM205A,0.00,0.01,0.00,0.00,0
AL589645.1,0.32,0.22,0.01,0.00,0
FAM205C,0.00,0.00,0.01,0.00,0
PHF24,0.02,0.10,0.04,0.00,0
DNAJB5-DT,0.98,0.60,0.21,0.00,0
DNAJB5,1.06,0.88,2.98,3.13,3
AL355377.3,3.40,2.16,6.20,0.78,3
AL355377.4,1.17,0.50,1.24,0.52,2
C9orf131,0.28,0.50,0.13,1.57,1
VCP,33.09,32.13,70.07,36.55,4
FANCG,1.45,1.64,3.93,2.35,4
PIGO,2.46,3.73,11.49,8.62,4
AL353795.2,0.17,0.12,0.01,0.00,0
STOML2,4.12,9.17,45.51,19.84,4
FAM214B,4.21,3.55,15.32,10.70,4
UNC13B,15.49,7.62,9.13,7.57,4
RUSC2,27.52,10.42,26.19,10.18,4
AL133476.1,0.00,0.06,0.29,2.61,1
FAM166B,0.19,0.49,0.42,3.92,1
TESK1,4.02,5.58,14.47,11.49,4
CD72,9.58,14.52,2.14,1.57,4
AL357874.2,0.00,0.05,0.00,0.00,0
AL357874.1,0.17,0.17,0.05,0.26,0
SIT1,0.38,5.02,0.24,0.78,1
RMRP,15.49,6.97,2.95,0.26,3
CCDC107,7.74,16.35,34.20,22.19,4
ARHGEF39,1.19,1.00,2.95,0.52,2
CA9,0.21,0.46,0.97,0.26,0
TPM2,15.56,16.61,74.65,43.86,4
TLN1,32.45,44.86,48.72,40.99,4
CREB3,4.29,6.62,39.84,15.93,4
GBA2,8.93,9.48,16.23,17.23,4
RGP1,5.19,5.70,18.11,9.92,4
MSMP,0.02,0.12,0.10,0.26,0
AL133410.2,0.02,0.09,0.00,0.00,0
AL133410.1,2.23,2.58,0.47,2.09,3
NPR2,2.91,2.49,8.68,8.36,4
SPAG8,0.40,0.66,0.80,1.31,1
HINT2,1.59,8.70,20.42,15.67,4
TMEM8B,7.44,6.06,28.24,14.62,4
FAM221B,0.49,0.39,0.47,0.52,0
HRCT1,0.79,1.32,8.86,6.79,3
SPAAR,2.02,0.97,2.23,0.78,2
AL135841.1,0.76,0.52,0.02,0.26,0
RECK,13.13,13.32,20.26,14.62,4
GLIPR2,7.44,13.01,0.67,5.22,3
CCIN,0.02,0.01,0.00,0.00,0
CLTA,25.36,30.07,62.82,34.99,4
GNE,14.81,9.92,20.41,20.89,4
RNF38,50.01,48.35,13.65,20.37,4
MELK,2.72,0.89,3.75,0.26,2
AL450267.2,0.04,0.15,0.01,0.00,0
PAX5,3.83,10.51,0.04,1.83,3
AL450267.1,0.02,0.15,0.00,0.00,0
AL161781.2,0.09,0.97,0.00,0.00,0
LINC01400,0.02,0.00,0.03,0.00,0
AL512604.3,0.23,0.06,0.58,0.00,0
EBLN3P,14.88,19.19,46.43,27.42,4
AL512604.2,0.49,0.13,0.15,0.00,0
ZCCHC7,66.33,69.20,29.73,19.58,4
GRHPR,7.63,10.44,33.61,29.77,4
ZBTB5,13.05,7.27,14.66,5.74,4
POLR1E,5.74,5.86,9.63,6.01,4
AL513165.1,2.17,1.62,0.00,0.00,2
FBXO10,10.31,10.26,2.15,2.09,4
TOMM5,7.52,17.22,55.56,28.20,4
FRMPD1,0.28,0.52,0.02,0.52,0
TRMT10B,11.14,14.24,10.15,11.23,4
EXOSC3,9.07,10.84,10.97,8.88,4
DCAF10,33.82,27.51,40.76,25.07,4
SLC25A51,10.99,9.98,2.87,5.48,4
SHB,18.96,6.08,1.47,6.01,4
AL135785.1,0.02,0.01,0.00,0.00,0
ALDH1B1,1.02,1.04,11.57,5.22,4
IGFBPL1,0.08,0.03,0.25,0.00,0
ANKRD18A,0.68,0.12,0.21,0.52,0
FAM201A,0.00,0.02,0.07,0.26,0
AL591543.1,0.00,0.02,0.00,0.00,0
FAM240B,0.00,0.01,0.00,0.00,0
AL845311.1,0.02,0.02,0.00,0.00,0
AL953883.1,0.02,0.05,0.00,0.00,0
CNTNAP3,2.70,2.19,0.11,2.61,3
FAM74A1,0.04,0.01,0.00,0.52,0
BX005214.1,0.00,0.02,0.00,0.00,0
GLIDR,1.23,1.55,2.47,5.22,4
BX664615.2,0.79,0.93,1.57,1.04,2
ANKRD20A2,0.26,0.09,0.02,0.00,0
BX664727.3,1.38,0.77,2.56,1.57,3
BMS1P14,1.61,1.07,0.64,0.78,2
FP325318.1,0.04,0.02,0.03,0.00,0
AL353626.1,0.08,0.13,0.00,0.00,0
BX255923.1,0.02,0.02,0.00,0.00,0
BX255923.2,0.04,0.01,0.00,0.00,0
FOXD4L6,0.09,0.01,0.00,0.00,0
CBWD6,4.95,3.71,1.85,1.04,4
AL845472.1,0.02,0.24,0.12,1.57,1
AL354718.2,0.02,0.00,0.00,0.00,0
AL591926.2,0.04,0.13,0.02,0.00,0
FAM242F,0.11,0.16,0.00,0.00,0
AL162731.1,0.00,0.00,0.02,0.00,0
CNTNAP3B,4.82,4.04,0.32,7.31,3
AL445584.2,0.30,0.22,0.00,0.00,0
BX088651.4,0.36,0.21,0.18,0.52,0
AL590491.2,0.04,0.00,0.00,0.00,0
SPATA31A7,0.02,0.00,0.00,0.00,0
CNTNAP3C,0.28,0.26,0.00,0.00,0
AL935212.1,0.02,0.07,0.00,0.00,0
FAM27C,4.93,2.67,8.66,5.74,4
AL391987.4,0.00,0.02,0.00,0.00,0
AL391987.3,0.11,0.08,0.12,0.00,0
FAM242E,0.00,0.02,0.00,0.00,0
AL590399.3,0.04,0.04,0.20,0.26,0
AL590399.1,0.17,0.12,0.44,1.04,1
LINC01189,0.02,0.04,0.01,0.00,0
BX005266.2,0.04,0.09,0.04,0.00,0
LINC01410,0.49,1.06,0.43,1.57,2
AL512625.3,0.68,1.05,0.37,0.52,1
AL512625.2,0.00,0.05,0.02,0.00,0
LERFS,0.23,0.25,7.84,0.26,1
AL512625.1,0.98,0.54,1.58,1.04,2
AL772155.1,0.00,0.02,0.00,0.00,0
CR786580.1,0.08,0.06,0.01,0.00,0
ANKRD20A4,2.25,0.36,0.72,0.00,1
FOXD4L5,0.08,0.25,0.21,0.00,0
FP326651.1,0.83,0.23,0.68,0.00,0
CBWD5,11.05,8.87,28.61,10.70,4
FOXD4L4,0.02,0.02,0.02,0.00,0
AL136317.2,0.19,0.12,0.26,0.00,0
ANKRD20A3,0.62,0.36,0.76,0.52,0
ZNF658,2.87,2.75,3.25,4.44,4
SPATA31A3,0.02,0.00,0.00,0.00,0
FAM27E3,0.47,0.20,1.93,0.78,1
AL627230.1,0.09,0.04,0.10,0.26,0
ANKRD20A1,1.13,0.83,0.23,0.26,1
AL353608.2,0.02,0.02,0.00,0.26,0
CBWD3,7.54,6.27,14.98,7.31,4
FOXD4L3,0.06,0.11,0.05,0.00,0
AL353608.3,0.02,0.03,0.00,0.00,0
AL353608.1,0.02,0.02,0.00,0.00,0
PGM5,5.17,4.03,0.27,2.35,3
PGM5-AS1,0.04,0.12,0.02,0.00,0
AL161457.2,2.83,3.56,3.41,3.39,4
AL161457.1,0.17,0.15,0.00,0.00,0
TMEM252,0.00,0.03,0.00,0.00,0
TMEM252-DT,1.15,1.02,0.00,0.00,2
LINC01506,0.04,0.19,0.00,0.00,0
PIP5K1B,12.07,17.43,0.20,3.66,3
FAM122A,2.13,4.46,8.81,11.49,4
AL354794.1,0.17,0.80,0.00,0.00,0
FXN,8.44,10.61,10.15,8.62,4
TJP2,10.46,6.89,2.84,7.31,4
BANCR,0.02,0.02,0.03,0.00,0
FAM189A2,3.02,1.46,1.44,3.92,4
APBA1,6.89,8.30,0.26,1.04,3
AL353693.1,0.11,0.19,0.00,0.00,0
AL162412.1,0.02,0.02,0.02,0.00,0
PTAR1,30.78,29.00,38.09,31.85,4
C9orf135-DT,0.00,0.00,0.69,0.00,0
C9orf135,0.09,0.19,1.00,0.26,0
MAMDC2-AS1,5.59,2.62,2.71,3.13,4
MAMDC2,10.42,9.15,2.87,11.49,4
SMC5-AS1,16.86,5.96,5.18,4.18,4
SMC5,59.49,50.34,48.41,32.11,4
AL162390.1,6.14,2.77,16.26,3.39,4
KLF9,33.24,35.64,42.50,55.61,4
TRPM3,3.70,2.77,0.16,1.04,3
CEMIP2,63.02,59.45,31.26,31.07,4
ABHD17B,25.82,26.77,5.01,6.53,4
C9orf85,18.60,19.63,10.67,11.23,4
C9orf57,0.06,0.13,0.00,0.00,0
AL583829.1,0.40,0.56,0.03,0.00,0
GDA,0.53,0.44,0.31,0.26,0
AL135924.2,0.00,0.01,0.00,0.00,0
LINC01504,6.82,12.56,0.36,10.97,3
ZFAND5,51.54,51.20,87.08,68.41,4
TMC1,1.13,1.10,0.02,1.04,3
LINC01474,0.09,0.21,0.01,0.00,0
ALDH1A1,0.79,2.44,0.12,1.31,2
